id,session_id,session_name,time_slot,room,date,day,start_time,end_time,time_order
137,12,Healthcare Operations and Capacity,W3,SEH-B1220,2026-06-03,Wednesday,16:45:00,17:55:00,3
140,12,Healthcare Operations and Capacity,W3,SEH-B1220,2026-06-03,Wednesday,16:45:00,17:55:00,3
90,40,Industrial Policy Frameworks,W3,SEH-B1270,2026-06-03,Wednesday,16:45:00,17:55:00,3
118,40,Industrial Policy Frameworks,W3,SEH-B1270,2026-06-03,Wednesday,16:45:00,17:55:00,3
176,40,Industrial Policy Frameworks,W3,SEH-B1270,2026-06-03,Wednesday,16:45:00,17:55:00,3
33,15,Advanced Technologies and Digital Innovation,W3,SEH-B2020,2026-06-03,Wednesday,16:45:00,17:55:00,3
52,15,Advanced Technologies and Digital Innovation,W3,SEH-B2020,2026-06-03,Wednesday,16:45:00,17:55:00,3
121,15,Advanced Technologies and Digital Innovation,W3,SEH-B2020,2026-06-03,Wednesday,16:45:00,17:55:00,3
194,15,Advanced Technologies and Digital Innovation,W3,SEH-B2020,2026-06-03,Wednesday,16:45:00,17:55:00,3
15,47,Green Innovation Diffusion,T1,SC-301,2026-06-04,Thursday,09:00:00,10:10:00,4
66,47,Green Innovation Diffusion,T1,SC-301,2026-06-04,Thursday,09:00:00,10:10:00,4
68,47,Green Innovation Diffusion,T1,SC-301,2026-06-04,Thursday,09:00:00,10:10:00,4
133,47,Green Innovation Diffusion,T1,SC-301,2026-06-04,Thursday,09:00:00,10:10:00,4
21,9,Drug Quality and Safety,T1,SC-302,2026-06-04,Thursday,09:00:00,10:10:00,4
50,9,Drug Quality and Safety,T1,SC-302,2026-06-04,Thursday,09:00:00,10:10:00,4
94,9,Drug Quality and Safety,T1,SC-302,2026-06-04,Thursday,09:00:00,10:10:00,4
95,9,Drug Quality and Safety,T1,SC-302,2026-06-04,Thursday,09:00:00,10:10:00,4
57,18,Generative AI and the Future of Work,T1,SC-307,2026-06-04,Thursday,09:00:00,10:10:00,4
62,18,Generative AI and the Future of Work,T1,SC-307,2026-06-04,Thursday,09:00:00,10:10:00,4
63,18,Generative AI and the Future of Work,T1,SC-307,2026-06-04,Thursday,09:00:00,10:10:00,4
138,18,Generative AI and the Future of Work,T1,SC-307,2026-06-04,Thursday,09:00:00,10:10:00,4
56,1,Geographic Location and Transportation Cost,T1,SC-308,2026-06-04,Thursday,09:00:00,10:10:00,4
109,1,Geographic Location and Transportation Cost,T1,SC-308,2026-06-04,Thursday,09:00:00,10:10:00,4
122,1,Geographic Location and Transportation Cost,T1,SC-308,2026-06-04,Thursday,09:00:00,10:10:00,4
178,1,Geographic Location and Transportation Cost,T1,SC-308,2026-06-04,Thursday,09:00:00,10:10:00,4
27,26,"Platform Work, Control, and Worker Voice",T1,SC-309,2026-06-04,Thursday,09:00:00,10:10:00,4
107,26,"Platform Work, Control, and Worker Voice",T1,SC-309,2026-06-04,Thursday,09:00:00,10:10:00,4
141,26,"Platform Work, Control, and Worker Voice",T1,SC-309,2026-06-04,Thursday,09:00:00,10:10:00,4
36,30,Supply Chain Risk and Resilience,T1,SC-310,2026-06-04,Thursday,09:00:00,10:10:00,4
156,30,Supply Chain Risk and Resilience,T1,SC-310,2026-06-04,Thursday,09:00:00,10:10:00,4
168,30,Supply Chain Risk and Resilience,T1,SC-310,2026-06-04,Thursday,09:00:00,10:10:00,4
206,30,Supply Chain Risk and Resilience,T1,SC-310,2026-06-04,Thursday,09:00:00,10:10:00,4
82,38,Global Value Chains and Trade Policy,T1,SC-Amp.,2026-06-04,Thursday,09:00:00,10:10:00,4
145,38,Global Value Chains and Trade Policy,T1,SC-Amp.,2026-06-04,Thursday,09:00:00,10:10:00,4
161,38,Global Value Chains and Trade Policy,T1,SC-Amp.,2026-06-04,Thursday,09:00:00,10:10:00,4
54,20,Innovation Strategy and Resources,T2,SC-301,2026-06-04,Thursday,12:50:00,14:00:00,5
55,20,Innovation Strategy and Resources,T2,SC-301,2026-06-04,Thursday,12:50:00,14:00:00,5
59,20,Innovation Strategy and Resources,T2,SC-301,2026-06-04,Thursday,12:50:00,14:00:00,5
65,20,Innovation Strategy and Resources,T2,SC-301,2026-06-04,Thursday,12:50:00,14:00:00,5
148,10,Drug Supply Chains and Shortages,T2,SC-302,2026-06-04,Thursday,12:50:00,14:00:00,5
184,10,Drug Supply Chains and Shortages,T2,SC-302,2026-06-04,Thursday,12:50:00,14:00:00,5
185,10,Drug Supply Chains and Shortages,T2,SC-302,2026-06-04,Thursday,12:50:00,14:00:00,5
190,10,Drug Supply Chains and Shortages,T2,SC-302,2026-06-04,Thursday,12:50:00,14:00:00,5
96,25,Manufacturing Transformation and Workforce Development,T2,SC-307,2026-06-04,Thursday,12:50:00,14:00:00,5
126,25,Manufacturing Transformation and Workforce Development,T2,SC-307,2026-06-04,Thursday,12:50:00,14:00:00,5
151,25,Manufacturing Transformation and Workforce Development,T2,SC-307,2026-06-04,Thursday,12:50:00,14:00:00,5
204,25,Manufacturing Transformation and Workforce Development,T2,SC-307,2026-06-04,Thursday,12:50:00,14:00:00,5
103,3,Biodiversity and Agricultural Industry,T2,SC-308,2026-06-04,Thursday,12:50:00,14:00:00,5
175,3,Biodiversity and Agricultural Industry,T2,SC-308,2026-06-04,Thursday,12:50:00,14:00:00,5
192,3,Biodiversity and Agricultural Industry,T2,SC-308,2026-06-04,Thursday,12:50:00,14:00:00,5
45,41,Regulatory Dynamics and Business Strategy,T2,SC-309,2026-06-04,Thursday,12:50:00,14:00:00,5
88,41,Regulatory Dynamics and Business Strategy,T2,SC-309,2026-06-04,Thursday,12:50:00,14:00:00,5
191,41,Regulatory Dynamics and Business Strategy,T2,SC-309,2026-06-04,Thursday,12:50:00,14:00:00,5
60,31,Retail and Manufacturing Operations,T2,SC-310,2026-06-04,Thursday,12:50:00,14:00:00,5
135,31,Retail and Manufacturing Operations,T2,SC-310,2026-06-04,Thursday,12:50:00,14:00:00,5
164,31,Retail and Manufacturing Operations,T2,SC-310,2026-06-04,Thursday,12:50:00,14:00:00,5
193,31,Retail and Manufacturing Operations,T2,SC-310,2026-06-04,Thursday,12:50:00,14:00:00,5
14,45,Energy Infrastructure and Communities,T2,SC-Amp.,2026-06-04,Thursday,12:50:00,14:00:00,5
47,45,Energy Infrastructure and Communities,T2,SC-Amp.,2026-06-04,Thursday,12:50:00,14:00:00,5
142,45,Energy Infrastructure and Communities,T2,SC-Amp.,2026-06-04,Thursday,12:50:00,14:00:00,5
201,45,Energy Infrastructure and Communities,T2,SC-Amp.,2026-06-04,Thursday,12:50:00,14:00:00,5
73,6,Industry Classification and Regulatory Policy,T3,SC-301,2026-06-04,Thursday,15:40:00,16:50:00,6
110,6,Industry Classification and Regulatory Policy,T3,SC-301,2026-06-04,Thursday,15:40:00,16:50:00,6
134,6,Industry Classification and Regulatory Policy,T3,SC-301,2026-06-04,Thursday,15:40:00,16:50:00,6
181,6,Industry Classification and Regulatory Policy,T3,SC-301,2026-06-04,Thursday,15:40:00,16:50:00,6
30,7,Biomedical Innovation & Organizational Ecosystems,T3,SC-302,2026-06-04,Thursday,15:40:00,16:50:00,6
71,7,Biomedical Innovation & Organizational Ecosystems,T3,SC-302,2026-06-04,Thursday,15:40:00,16:50:00,6
188,7,Biomedical Innovation & Organizational Ecosystems,T3,SC-302,2026-06-04,Thursday,15:40:00,16:50:00,6
84,19,Industrial Policy and Technology Development,T3,SC-307,2026-06-04,Thursday,15:40:00,16:50:00,6
146,19,Industrial Policy and Technology Development,T3,SC-307,2026-06-04,Thursday,15:40:00,16:50:00,6
195,19,Industrial Policy and Technology Development,T3,SC-307,2026-06-04,Thursday,15:40:00,16:50:00,6
203,19,Industrial Policy and Technology Development,T3,SC-307,2026-06-04,Thursday,15:40:00,16:50:00,6
32,48,Technological Change at Work and Across Industries,T3,SC-308,2026-06-04,Thursday,15:40:00,16:50:00,6
32,48,Technological Change at Work and Across Industries,T3,SC-308,2026-06-04,Thursday,15:40:00,16:50:00,6
32,48,Technological Change at Work and Across Industries,T3,SC-308,2026-06-04,Thursday,15:40:00,16:50:00,6
32,48,Technological Change at Work and Across Industries,T3,SC-308,2026-06-04,Thursday,15:40:00,16:50:00,6
97,35,ESG in Supply Chains,T3,SC-309,2026-06-04,Thursday,15:40:00,16:50:00,6
128,35,ESG in Supply Chains,T3,SC-309,2026-06-04,Thursday,15:40:00,16:50:00,6
143,35,ESG in Supply Chains,T3,SC-309,2026-06-04,Thursday,15:40:00,16:50:00,6
154,35,ESG in Supply Chains,T3,SC-309,2026-06-04,Thursday,15:40:00,16:50:00,6
16,37,AI and Digital Economy Policy,T3,SC-310,2026-06-04,Thursday,15:40:00,16:50:00,6
157,37,AI and Digital Economy Policy,T3,SC-310,2026-06-04,Thursday,15:40:00,16:50:00,6
196,37,AI and Digital Economy Policy,T3,SC-310,2026-06-04,Thursday,15:40:00,16:50:00,6
197,37,AI and Digital Economy Policy,T3,SC-310,2026-06-04,Thursday,15:40:00,16:50:00,6
67,44,EV Transition and Automotive Industry,T3,SC-Amp.,2026-06-04,Thursday,15:40:00,16:50:00,6
89,44,EV Transition and Automotive Industry,T3,SC-Amp.,2026-06-04,Thursday,15:40:00,16:50:00,6
93,44,EV Transition and Automotive Industry,T3,SC-Amp.,2026-06-04,Thursday,15:40:00,16:50:00,6
159,44,EV Transition and Automotive Industry,T3,SC-Amp.,2026-06-04,Thursday,15:40:00,16:50:00,6
43,23,"Hiring, Skills, and Labor Market Dynamics",F1,SC-301,2026-06-05,Friday,10:30:00,11:40:00,7
72,23,"Hiring, Skills, and Labor Market Dynamics",F1,SC-301,2026-06-05,Friday,10:30:00,11:40:00,7
100,23,"Hiring, Skills, and Labor Market Dynamics",F1,SC-301,2026-06-05,Friday,10:30:00,11:40:00,7
119,23,"Hiring, Skills, and Labor Market Dynamics",F1,SC-301,2026-06-05,Friday,10:30:00,11:40:00,7
31,13,Pharmaceutical R&D Strategy,F1,SC-302,2026-06-05,Friday,10:30:00,11:40:00,7
48,13,Pharmaceutical R&D Strategy,F1,SC-302,2026-06-05,Friday,10:30:00,11:40:00,7
169,13,Pharmaceutical R&D Strategy,F1,SC-302,2026-06-05,Friday,10:30:00,11:40:00,7
111,14,AI Adoption and Organizational Performance,F1,SC-307,2026-06-05,Friday,10:30:00,11:40:00,7
199,14,AI Adoption and Organizational Performance,F1,SC-307,2026-06-05,Friday,10:30:00,11:40:00,7
200,14,AI Adoption and Organizational Performance,F1,SC-307,2026-06-05,Friday,10:30:00,11:40:00,7
209,14,AI Adoption and Organizational Performance,F1,SC-307,2026-06-05,Friday,10:30:00,11:40:00,7
77,16,Entrepreneurial Ecosystems and Clusters,F1,SC-308,2026-06-05,Friday,10:30:00,11:40:00,7
91,16,Entrepreneurial Ecosystems and Clusters,F1,SC-308,2026-06-05,Friday,10:30:00,11:40:00,7
123,16,Entrepreneurial Ecosystems and Clusters,F1,SC-308,2026-06-05,Friday,10:30:00,11:40:00,7
132,16,Entrepreneurial Ecosystems and Clusters,F1,SC-308,2026-06-05,Friday,10:30:00,11:40:00,7
